"Max Conc","Exp Time","Temp","Cell Viab","Adj Cell Viab","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d","","a","b","c","d"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","30","25.75","0.00078153649455735","0.00078153649455735","","0","300","0.5","3.0166666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","30","30.183333333333","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.1666666666667","","N/A","N/A","5","5.15","","70% EtOH","70% EtOH","5","5.1333333333333","","Media","Media","1440","1255"
"7","30","25.75","0.0025815531776144","0.0025815531776144","","0","300","0.5","3.0166666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","30","30.183333333333","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.1666666666667","","N/A","N/A","5","5.15","","70% EtOH","70% EtOH","5","5.1333333333333","","Media","Media","1440","1255"
"7","30","25.75","-0.0010122785620383","-0.0010122785620383","","0","300","0.5","3.0166666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","30","30.183333333333","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.1666666666667","","N/A","N/A","5","5.15","","70% EtOH","70% EtOH","5","5.1333333333333","","Media","Media","1440","1255"
"7","30","25.75","-0.00016266952374589","-0.00016266952374589","","0","300","0.5","3.0166666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","30","30.183333333333","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.1666666666667","","N/A","N/A","5","5.15","","70% EtOH","70% EtOH","5","5.1333333333333","","Media","Media","1440","1255"
"7","30","25.75","0.00096622698234542","0.00096622698234542","","0","300","0.5","3.0166666666667","","N/A","N/A","4.5","4.6333333333333","","N/A","N/A","4.5","4.65","","N/A","N/A","30","30.183333333333","","N/A","N/A","7","7.9166666666667","","N/A","N/A","7","7.1666666666667","","N/A","N/A","5","5.15","","70% EtOH","70% EtOH","5","5.1333333333333","","Media","Media","1440","1255"
"7","60","25.5","-0.00087803687720562","-0.00087803687720562","","0","300","0.5","2.6833333333333","","N/A","N/A","4.5","4.95","","N/A","N/A","4.5","4.6833333333333","","N/A","N/A","60","60.333333333333","","N/A","N/A","7","7.9833333333333","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1833333333333","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1315"
"7","60","25.5","0.0006795955100051","0.0006795955100051","","0","300","0.5","2.6833333333333","","N/A","N/A","4.5","4.95","","N/A","N/A","4.5","4.6833333333333","","N/A","N/A","60","60.333333333333","","N/A","N/A","7","7.9833333333333","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1833333333333","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1315"
"7","60","25.5","0.0020156269657529","0.0020156269657529","","0","300","0.5","2.6833333333333","","N/A","N/A","4.5","4.95","","N/A","N/A","4.5","4.6833333333333","","N/A","N/A","60","60.333333333333","","N/A","N/A","7","7.9833333333333","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1833333333333","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1315"
"7","60","25.5","-0.00011024665448986","-0.00011024665448986","","0","300","0.5","2.6833333333333","","N/A","N/A","4.5","4.95","","N/A","N/A","4.5","4.6833333333333","","N/A","N/A","60","60.333333333333","","N/A","N/A","7","7.9833333333333","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1833333333333","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1315"
"7","60","25.5","-0.0019062617802353","-0.0019062617802353","","0","300","0.5","2.6833333333333","","N/A","N/A","4.5","4.95","","N/A","N/A","4.5","4.6833333333333","","N/A","N/A","60","60.333333333333","","N/A","N/A","7","7.9833333333333","","N/A","N/A","7","7.15","","N/A","N/A","5","5.1833333333333","","70% EtOH","70% EtOH","5","5.15","","Media","Media","1440","1315"
