Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),Exp Time (min),Temp (°C),Cell Viab (%)
0.0,1.0,0.0,0.0,0.0,60,26.8,0.87319408242601
0.0,1.0,0.0,0.0,0.0,60,26.8,1.0980909747928
0.0,1.0,0.0,0.0,0.0,60,26.8,1.1272234017342
0.0,1.0,0.0,0.0,0.0,60,26.8,0.95391890432686
0.0,3.0,0.0,0.0,0.0,5,24.9,0.94793976263343
0.0,3.0,0.0,0.0,0.0,5,24.9,1.0088211231188
0.0,3.0,0.0,0.0,0.0,5,24.9,0.92804229333655
0.0,3.0,0.0,0.0,0.0,5,24.9,0.91421320521985
0.0,3.0,0.0,0.0,0.0,5,24.9,1.0170321580895
0.0,3.0,0.0,0.0,0.0,10,25.5,0.91330382226559
0.0,3.0,0.0,0.0,0.0,10,25.5,0.74852653166506
0.0,3.0,0.0,0.0,0.0,10,25.5,0.90394519145397
0.0,3.0,0.0,0.0,0.0,10,25.5,0.92887931443396
0.0,3.0,0.0,0.0,0.0,10,25.5,0.98899251285883
0.0,3.0,0.0,0.0,0.0,30,25,1.1608591370491
0.0,3.0,0.0,0.0,0.0,30,25,1.0694503212031
0.0,3.0,0.0,0.0,0.0,30,25,0.98554919570874
0.0,3.0,0.0,0.0,0.0,30,25,1.045023986391
0.0,3.0,0.0,0.0,0.0,30,25,0.92825303005183
0.0,3.0,0.0,0.0,0.0,60,24.9,0.79694363294086
0.0,3.0,0.0,0.0,0.0,60,24.9,0.8017672319695
0.0,3.0,0.0,0.0,0.0,60,24.9,0.92021022757428
0.0,3.0,0.0,0.0,0.0,60,24.9,0.97631691797183
0.0,3.0,0.0,0.0,0.0,60,24.9,0.98778794339396
0.0,5.0,0.0,0.0,0.0,5,22.9,1.1338927633157
0.0,5.0,0.0,0.0,0.0,5,22.9,1.0783139841161
0.0,5.0,0.0,0.0,0.0,5,22.9,0.94465176400364
0.0,5.0,0.0,0.0,0.0,5,22.9,0.88293660227789
0.0,5.0,0.0,0.0,0.0,5,22.9,1.0776810024596
0.0,5.0,0.0,0.0,0.0,10,25.3,1.0359790521274
0.0,5.0,0.0,0.0,0.0,10,25.3,0.86725909716592
0.0,5.0,0.0,0.0,0.0,10,25.3,0.83925224563226
0.0,5.0,0.0,0.0,0.0,10,25.3,1.0738027862422
0.0,5.0,0.0,0.0,0.0,10,25.3,0.8252160847582
0.0,5.0,0.0,0.0,0.0,30,25.1,0.96142474323635
0.0,5.0,0.0,0.0,0.0,30,25.1,0.83581273097449
0.0,5.0,0.0,0.0,0.0,30,25.1,0.94044436393647
0.0,5.0,0.0,0.0,0.0,30,25.1,0.81532101987026
0.0,5.0,0.0,0.0,0.0,30,25.1,0.90666179026746
0.0,5.0,0.0,0.0,0.0,60,24.3,0.051001545585491
0.0,5.0,0.0,0.0,0.0,60,24.3,0.057792189524277
0.0,5.0,0.0,0.0,0.0,60,24.3,0.068922606516948
0.0,5.0,0.0,0.0,0.0,60,24.3,0.052572242238365
0.0,5.0,0.0,0.0,0.0,60,24.3,0.050715228010455
0.0,7.0,0.0,0.0,0.0,5,24.1,1.0186034933042
0.0,7.0,0.0,0.0,0.0,5,24.1,0.93588602941053
0.0,7.0,0.0,0.0,0.0,5,24.1,0.92389738562313
0.0,7.0,0.0,0.0,0.0,5,24.1,0.91138299051083
0.0,7.0,0.0,0.0,0.0,5,24.1,0.85298749476119
0.0,7.0,0.0,0.0,0.0,10,26.5,0.89286116588909
0.0,7.0,0.0,0.0,0.0,10,26.5,0.89040590886387
0.0,7.0,0.0,0.0,0.0,10,26.5,0.8340042724116
0.0,7.0,0.0,0.0,0.0,10,26.5,0.8223884949411
0.0,7.0,0.0,0.0,0.0,10,26.5,0.86247581848931
0.0,7.0,0.0,0.0,0.0,30,25.4,0.45999973247407
0.0,7.0,0.0,0.0,0.0,30,25.4,0.50791144359666
0.0,7.0,0.0,0.0,0.0,30,25.4,0.48811199009072
0.0,7.0,0.0,0.0,0.0,30,25.4,0.35314472060953
0.0,7.0,0.0,0.0,0.0,30,25.4,0.40015299154602
0.0,7.0,0.0,0.0,0.0,60,25.15,0.014442011061325
0.0,7.0,0.0,0.0,0.0,60,25.15,0.054119491862379
0.0,7.0,0.0,0.0,0.0,60,25.15,0.0034303580636237
0.0,7.0,0.0,0.0,0.0,60,25.15,0.012647802300602
0.0,7.0,0.0,0.0,0.0,60,25.15,0.012408113860191
0.0,10.0,0.0,0.0,0.0,5,27,0.4315451574249
0.0,10.0,0.0,0.0,0.0,5,27,0.55989265946441
0.0,10.0,0.0,0.0,0.0,5,27,0.47773820726869
0.0,10.0,0.0,0.0,0.0,5,27,0.56892570015915
0.0,10.0,0.0,0.0,0.0,5,27,0.36032192620069
0.0,10.0,0.0,0.0,0.0,10,27,0.061790766029455
0.0,10.0,0.0,0.0,0.0,10,27,0.099808638460521
0.0,10.0,0.0,0.0,0.0,10,27,0.059299268031497
0.0,10.0,0.0,0.0,0.0,10,27,0.0230598720514
0.0,10.0,0.0,0.0,0.0,10,27,0.0083021078988587
0.0,10.0,0.0,0.0,0.0,10,27,0.027353765892704
0.0,10.0,0.0,0.0,0.0,30,27,-0.0007720393497483
0.0,10.0,0.0,0.0,0.0,30,27,0.00015997537992602
0.0,10.0,0.0,0.0,0.0,30,27,-0.00045149387216387
0.0,10.0,0.0,0.0,0.0,30,27,5.278482160308E-5
0.0,10.0,0.0,0.0,0.0,30,27,-0.0024288980648247
0.0,10.0,0.0,0.0,0.0,60,27.1,-0.0021666519094749
0.0,10.0,0.0,0.0,0.0,60,27.1,-0.0012260339429733
0.0,10.0,0.0,0.0,0.0,60,27.1,-0.0012323011209054
0.0,10.0,0.0,0.0,0.0,60,27.1,0.0022333229758298
0.0,10.0,0.0,0.0,0.0,60,27.1,0.0015468758503345
0.0,0.0,1.0,0.0,0.0,5,23.9,0.9822917587986
0.0,0.0,1.0,0.0,0.0,5,23.9,0.71964535309322
0.0,0.0,1.0,0.0,0.0,5,23.9,1.1014092304539
0.0,0.0,1.0,0.0,0.0,5,23.9,0.72349896975784
0.0,0.0,1.0,0.0,0.0,5,23.9,0.90029005292954
0.0,0.0,1.0,0.0,0.0,10,26.6,1.1102090763026
0.0,0.0,1.0,0.0,0.0,10,26.6,1.1358958038507
0.0,0.0,1.0,0.0,0.0,10,26.6,0.87515960018422
0.0,0.0,1.0,0.0,0.0,10,26.6,0.95173630737825
0.0,0.0,1.0,0.0,0.0,10,26.6,1.188663086197
0.0,0.0,1.0,0.0,0.0,30,26.8,0.92862979271869
0.0,0.0,1.0,0.0,0.0,30,26.8,0.86893088739784
0.0,0.0,1.0,0.0,0.0,30,26.8,1.1000911150388
0.0,0.0,1.0,0.0,0.0,30,26.8,1.0625389462709
0.0,0.0,1.0,0.0,0.0,30,26.8,1.2467466799074
0.0,0.0,1.0,0.0,0.0,60,26.8,1.0815066296929
0.0,0.0,1.0,0.0,0.0,60,26.8,1.0576956402219
0.0,0.0,1.0,0.0,0.0,60,26.8,0.9435085585476
0.0,0.0,1.0,0.0,0.0,60,26.8,0.92431900630948
0.0,0.0,1.0,0.0,0.0,60,26.8,0.83655815185619
0.0,0.0,3.0,0.0,0.0,5,24.9,1.0116778317569
0.0,0.0,3.0,0.0,0.0,5,24.9,0.90862197553938
0.0,0.0,3.0,0.0,0.0,5,24.9,0.95030551007906
0.0,0.0,3.0,0.0,0.0,5,24.9,0.96357890512204
0.0,0.0,3.0,0.0,0.0,5,24.9,0.86992936645731
0.0,0.0,3.0,0.0,0.0,10,25.5,0.85495917636447
0.0,0.0,3.0,0.0,0.0,10,25.5,0.94139636122615
0.0,0.0,3.0,0.0,0.0,10,25.5,0.91414363308078
0.0,0.0,3.0,0.0,0.0,10,25.5,0.92327409453966
0.0,0.0,3.0,0.0,0.0,10,25.5,1.0280999414308
0.0,0.0,3.0,0.0,0.0,30,25,0.94691712354561
0.0,0.0,3.0,0.0,0.0,30,25,0.85422201775911
0.0,0.0,3.0,0.0,0.0,30,25,1.0673967606379
0.0,0.0,3.0,0.0,0.0,30,25,1.0122011168112
0.0,0.0,3.0,0.0,0.0,30,25,0.92753968208969
0.0,0.0,3.0,0.0,0.0,60,24.9,0.76524875325306
0.0,0.0,3.0,0.0,0.0,60,24.9,0.92690283629707
0.0,0.0,3.0,0.0,0.0,60,24.9,1.0015480971826
0.0,0.0,3.0,0.0,0.0,60,24.9,1.0087667759673
0.0,0.0,3.0,0.0,0.0,60,24.9,0.83416509836407
0.0,0.0,5.0,0.0,0.0,5,22.9,1.036759628222
0.0,0.0,5.0,0.0,0.0,5,22.9,1.0138402139314
0.0,0.0,5.0,0.0,0.0,5,22.9,1.0293579138061
0.0,0.0,5.0,0.0,0.0,5,22.9,1.0975112619767
0.0,0.0,5.0,0.0,0.0,5,22.9,0.85115811155158
0.0,0.0,5.0,0.0,0.0,10,25.3,0.72564192499229
0.0,0.0,5.0,0.0,0.0,10,25.3,0.91794567143226
0.0,0.0,5.0,0.0,0.0,10,25.3,1.0952256202512
0.0,0.0,5.0,0.0,0.0,10,25.3,1.0461750492816
0.0,0.0,5.0,0.0,0.0,10,25.3,0.89357065825594
0.0,0.0,5.0,0.0,0.0,30,25.1,0.65291994088974
0.0,0.0,5.0,0.0,0.0,30,25.1,0.81058110651938
0.0,0.0,5.0,0.0,0.0,30,25.1,0.90629497779003
0.0,0.0,5.0,0.0,0.0,30,25.1,0.75298170768808
0.0,0.0,5.0,0.0,0.0,30,25.1,0.71681367639992
0.0,0.0,5.0,0.0,0.0,60,24.3,0.023116796869925
0.0,0.0,5.0,0.0,0.0,60,24.3,0.29739645244756
0.0,0.0,5.0,0.0,0.0,60,24.3,0.081359498183191
0.0,0.0,5.0,0.0,0.0,60,24.3,0.063024818202224
0.0,0.0,5.0,0.0,0.0,60,24.3,0.10436771961491
0.0,0.0,7.0,0.0,0.0,5,24.1,0.067198381142602
0.0,0.0,7.0,0.0,0.0,5,24.1,0.079301189607092
0.0,0.0,7.0,0.0,0.0,5,24.1,0.24042530921872
0.0,0.0,7.0,0.0,0.0,5,24.1,0.17627482437053
0.0,0.0,7.0,0.0,0.0,5,24.1,0.094356178109572
0.0,0.0,7.0,0.0,0.0,10,26.5,0.0036058194041568
0.0,0.0,7.0,0.0,0.0,10,26.5,0.0052280847562392
0.0,0.0,7.0,0.0,0.0,10,26.5,0.0070204471688451
0.0,0.0,7.0,0.0,0.0,10,26.5,0.0029608313514618
0.0,0.0,7.0,0.0,0.0,10,26.5,0.0058648866450877
0.0,0.0,7.0,0.0,0.0,30,25.4,0.0036512154584125
0.0,0.0,7.0,0.0,0.0,30,25.4,0.0061029131625653
0.0,0.0,7.0,0.0,0.0,30,25.4,0.003897547043094
0.0,0.0,7.0,0.0,0.0,30,25.4,0.0027120354591551
0.0,0.0,7.0,0.0,0.0,30,25.4,0.0021692532639274
0.0,0.0,7.0,0.0,0.0,60,25.15,0.0041350900290619
