Gly (mol/L),DMSO (mol/L),PG (mol/L),EG (mol/L),FA (mol/L),Exp Time (min),Temp (°C),Cell Viab (%)
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,10,25.2,0.88772190942153
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,10,25.2,0.86658407394834
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,30,25.75,0.76968937433915
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,30,25.75,0.84311634898482
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,30,25.75,0.81739601253965
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,30,25.75,0.57897308712508
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,30,25.75,0.79324234058488
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,60,25.5,0.56383195162702
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,60,25.5,0.6612801826605
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,60,25.5,0.064148213468366
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,60,25.5,0.65459742444592
2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,60,25.5,0.73019551723635
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,5,25.75,1.0869962839453
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,5,25.75,0.81814778975589
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,5,25.75,1.0749568048606
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,5,25.75,0.9330136616126
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,5,25.75,1.0584969639953
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,10,25.2,0.97497594136566
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,10,25.2,0.95378687629447
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,10,25.2,1.0911457197499
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,10,25.2,0.96068117150044
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,10,25.2,0.97006176895117
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,30,25.75,0.99946463854463
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,30,25.75,1.0028349172342
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,30,25.75,0.94601960792129
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,30,25.75,0.77272417811762
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,30,25.75,1.0419782610414
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,60,25.5,0.54174794877461
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,60,25.5,0.055973649846786
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,60,25.5,0.55413505188935
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,60,25.5,0.47979831800522
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,60,25.5,0.57060808047002
2.3333333333333335,0.0,2.3333333333333335,2.3333333333333335,0.0,60,25.5,0.60902590282091
2.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,5,25.75,0.84342829982299
2.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,5,25.75,0.99957832016248
2.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,5,25.75,1.0024751301774
2.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,5,25.75,0.98414072596129
2.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,5,25.75,1.1933201710492
2.3333333333333335,0.0,2.3333333333333335,0.0,2.3333333333333335,10,25.2,0.79197189240923
